index,co2,humidity,temperature,seat_num,y,prediction_label
24322,933.0,26.100000381469727,27.799999237060547,80,0.0,0.0
24323,671.0,28.100000381469727,27.399999618530273,183,0.0,0.0
24324,1120.0,34.0,25.600000381469727,56,1.0,1.0
24325,574.0,37.099998474121094,26.0,56,0.699999988079071,0.699999988079071
24326,615.0,25.399999618530273,27.700000762939453,80,0.699999988079071,0.699999988079071
24327,793.0,28.100000381469727,25.799999237060547,56,1.0,1.0
24328,837.0,26.399999618530273,27.5,80,0.0,0.0
24329,942.0,25.100000381469727,27.399999618530273,80,0.0,0.0
24330,691.0,22.200000762939453,26.799999237060547,80,0.0,0.0
24331,778.0,28.700000762939453,27.700000762939453,183,0.5,0.5
24332,806.0,24.399999618530273,25.700000762939453,56,0.0,0.0
24333,531.0,39.099998474121094,25.399999618530273,56,0.0,0.0
24334,791.0,22.899999618530273,26.899999618530273,56,0.5,0.5
24335,1042.0,42.79999923706055,26.299999237060547,56,1.0,1.0
24336,869.0,28.600000381469727,27.200000762939453,80,0.0,0.0
24337,680.0,25.100000381469727,28.399999618530273,56,1.0,0.9720000004768372
24338,798.0,23.200000762939453,27.799999237060547,183,0.5,0.5
24339,1131.0,28.700000762939453,26.5,56,0.0,0.0
24340,706.0,37.20000076293945,26.0,56,0.0,0.3499999940395355
24341,1384.0,31.600000381469727,27.600000381469727,80,0.0,0.0
24342,625.0,30.600000381469727,27.5,56,0.0,0.0
24343,522.0,31.5,25.799999237060547,56,0.0,0.0
24344,1099.0,42.5,26.600000381469727,56,1.0,1.0
24345,827.0,26.5,27.5,80,0.0,0.0
24346,555.0,32.20000076293945,28.100000381469727,80,0.0,0.0
24347,920.0,44.70000076293945,25.899999618530273,56,1.0,1.0
24348,599.0,21.100000381469727,26.5,80,0.0,0.015
24349,896.0,45.70000076293945,25.700000762939453,183,0.0,0.0
24350,879.0,38.5,25.200000762939453,56,0.30000001192092896,0.3210000115633011
24351,832.0,24.0,27.799999237060547,183,0.5,0.5
24352,926.0,25.600000381469727,26.200000762939453,56,0.5,0.4980000001192093
24353,780.0,29.100000381469727,27.0,80,0.0,0.0
24354,491.0,20.200000762939453,25.700000762939453,56,0.0,0.0
24355,628.0,24.5,27.0,183,0.0,0.0
24356,572.0,28.899999618530273,26.0,56,0.5,0.5
24357,520.0,21.5,26.299999237060547,56,0.5,0.5
24358,763.0,30.799999237060547,27.0,183,0.0,0.0
24359,842.0,28.700000762939453,26.100000381469727,183,0.0,0.0
24360,600.0,30.899999618530273,25.700000762939453,183,0.0,0.0
24361,601.0,30.899999618530273,25.700000762939453,183,0.0,0.0
24362,787.0,37.599998474121094,26.0,183,0.0,0.0
24363,863.0,24.100000381469727,26.0,56,0.0,0.0
24364,598.0,37.400001525878906,26.0,56,1.0,1.0
24365,786.0,24.799999237060547,25.299999237060547,56,0.0,0.0
24366,678.0,37.29999923706055,25.799999237060547,56,0.0,0.0
24367,628.0,24.600000381469727,27.100000381469727,183,0.0,0.0
24368,769.0,37.599998474121094,26.0,183,0.0,0.0
24369,535.0,30.399999618530273,26.5,56,1.0,1.0
24370,554.0,32.5,26.200000762939453,56,0.0,0.0
24371,954.0,25.100000381469727,27.399999618530273,80,0.0,0.0
24372,697.0,31.299999237060547,26.700000762939453,183,0.0,0.0
24373,628.0,24.5,27.0,183,0.0,0.0
24374,731.0,22.600000381469727,26.700000762939453,183,0.0,0.0
24375,964.0,24.200000762939453,26.299999237060547,56,0.0,0.01800000071525574
24376,505.0,21.700000762939453,25.200000762939453,56,0.0,0.0
24377,605.0,44.400001525878906,25.899999618530273,56,0.0,0.0
24378,559.0,36.70000076293945,28.100000381469727,80,0.0,0.0
24379,1112.0,42.5,26.600000381469727,56,1.0,1.0
24380,719.0,20.399999618530273,26.600000381469727,80,0.0,0.0
24381,933.0,44.20000076293945,26.299999237060547,56,1.0,1.0
24382,614.0,28.600000381469727,26.399999618530273,80,0.0,0.0
24383,635.0,30.600000381469727,27.399999618530273,56,0.0,0.0
24384,509.0,21.799999237060547,25.200000762939453,56,0.0,0.005
24385,927.0,34.20000076293945,27.299999237060547,183,0.0,0.0
24386,563.0,32.599998474121094,27.799999237060547,80,0.0,0.0
24387,995.0,26.299999237060547,27.700000762939453,80,0.0,0.0
24388,665.0,22.100000381469727,26.399999618530273,183,0.0,0.0
24389,790.0,24.700000762939453,25.5,56,0.0,0.0
24390,907.0,38.70000076293945,24.200000762939453,56,1.0,1.0
24391,803.0,31.399999618530273,24.399999618530273,56,0.0,0.0
24392,678.0,31.600000381469727,24.700000762939453,56,0.0,0.0
24393,497.0,31.299999237060547,25.600000381469727,56,0.0,0.0
24394,811.0,23.399999618530273,27.799999237060547,183,0.5,0.5019999998807907
24395,961.0,26.100000381469727,27.799999237060547,80,0.0,0.0
24396,867.0,26.100000381469727,27.5,80,0.0,0.0
24397,774.0,34.79999923706055,26.5,56,1.0,1.0
24398,563.0,40.0,24.799999237060547,56,0.0,0.0
24399,743.0,31.600000381469727,24.700000762939453,56,0.0,0.0
24400,486.0,25.399999618530273,25.0,56,0.0,0.0
24401,648.0,36.099998474121094,25.899999618530273,56,0.0,0.0
24402,934.0,28.399999618530273,27.299999237060547,183,0.0,0.0
24403,742.0,26.100000381469727,27.200000762939453,183,0.0,0.0
24404,834.0,40.79999923706055,25.600000381469727,56,1.0,1.0
24405,1097.0,42.400001525878906,26.600000381469727,56,1.0,1.0
24406,865.0,25.899999618530273,26.200000762939453,56,0.699999988079071,0.6969999885559082
24407,891.0,32.0,24.200000762939453,56,0.0,0.0
24408,830.0,23.0,27.200000762939453,80,0.0,0.0
24409,1155.0,28.700000762939453,26.799999237060547,56,0.0,0.0
24410,769.0,23.799999237060547,27.100000381469727,80,0.0,0.0
24411,738.0,27.299999237060547,26.799999237060547,183,0.0,0.0
24412,713.0,27.200000762939453,27.299999237060547,80,0.0,0.0
24413,894.0,44.099998474121094,26.100000381469727,183,0.0,0.0
24414,554.0,32.20000076293945,28.100000381469727,80,0.0,0.0
24415,829.0,29.100000381469727,25.5,183,0.0,0.0
24416,550.0,32.5,28.399999618530273,80,0.0,0.0
24417,512.0,36.0,25.799999237060547,56,0.0,0.0
24418,582.0,29.600000381469727,28.399999618530273,80,0.0,0.0
24419,486.0,25.200000762939453,25.100000381469727,56,0.0,0.0
24420,727.0,25.899999618530273,26.700000762939453,80,0.0,0.0
24421,537.0,30.899999618530273,23.600000381469727,56,0.0,0.01
24422,582.0,29.799999237060547,28.5,80,0.0,0.0
24423,568.0,24.600000381469727,26.200000762939453,183,0.0,0.0
24424,545.0,32.599998474121094,28.200000762939453,80,0.0,0.0
24425,655.0,44.5,25.5,56,0.0,0.0
24426,701.0,26.399999618530273,28.399999618530273,56,1.0,0.6885000053048134
24427,545.0,37.400001525878906,27.899999618530273,80,0.0,0.0
24428,917.0,34.900001525878906,27.200000762939453,80,0.0,0.0
24429,625.0,34.5,25.399999618530273,183,0.0,0.0
24430,726.0,25.899999618530273,26.700000762939453,80,0.0,0.0
24431,842.0,23.100000381469727,27.0,56,0.5,0.5
24432,684.0,38.599998474121094,25.0,183,1.0,1.0
24433,728.0,25.399999618530273,27.100000381469727,80,0.0,0.0
24434,1143.0,35.599998474121094,25.5,56,0.699999988079071,0.9759999990463257
24435,666.0,26.799999237060547,27.600000381469727,183,0.0,0.0
24436,813.0,25.299999237060547,27.299999237060547,183,0.30000001192092896,0.44500000596046446
24437,1121.0,28.700000762939453,26.5,56,0.0,0.0
24438,885.0,43.900001525878906,26.299999237060547,56,1.0,1.0
24439,926.0,34.400001525878906,27.200000762939453,183,0.0,0.0
24440,841.0,22.600000381469727,27.799999237060547,56,0.5,0.5
24441,928.0,37.20000076293945,25.799999237060547,56,1.0,1.0
24442,675.0,34.599998474121094,25.100000381469727,183,0.0,0.0
24443,554.0,36.79999923706055,28.200000762939453,80,0.0,0.0
24444,592.0,30.899999618530273,26.799999237060547,183,0.0,0.0
24445,554.0,21.700000762939453,26.0,56,0.0,0.00699999988079071
24446,860.0,34.599998474121094,26.700000762939453,80,0.0,0.0
24447,822.0,37.099998474121094,26.200000762939453,183,0.0,0.0
24448,773.0,22.899999618530273,27.0,183,0.0,0.02
24449,639.0,25.899999618530273,26.299999237060547,183,1.0,0.98
24450,706.0,33.400001525878906,27.200000762939453,183,0.0,0.0
24451,715.0,22.600000381469727,26.899999618530273,80,0.0,0.0
24452,515.0,21.799999237060547,26.0,56,0.5,0.699999988079071
24453,787.0,26.299999237060547,27.299999237060547,80,0.0,0.0
24454,736.0,33.79999923706055,26.299999237060547,56,1.0,1.0
24455,931.0,28.700000762939453,27.399999618530273,183,1.0,1.0
24456,709.0,27.700000762939453,27.700000762939453,80,0.0,0.0
24457,816.0,34.599998474121094,26.700000762939453,80,0.0,0.0
24458,968.0,39.599998474121094,25.799999237060547,56,1.0,0.99
24459,499.0,20.299999237060547,25.700000762939453,56,0.0,0.0
24460,1027.0,30.700000762939453,28.100000381469727,56,0.0,0.00699999988079071
24461,839.0,31.299999237060547,24.399999618530273,56,0.0,0.0
24462,933.0,34.0,27.399999618530273,183,0.0,0.0
24463,958.0,43.400001525878906,26.799999237060547,56,1.0,0.9969999998807907
24464,656.0,29.100000381469727,27.299999237060547,80,0.5,0.485
24465,534.0,22.100000381469727,25.799999237060547,183,0.0,0.0
24466,722.0,30.0,24.100000381469727,56,0.0,0.0
24467,686.0,42.099998474121094,25.700000762939453,183,0.0,0.01300000011920929
24468,666.0,20.700000762939453,26.200000762939453,80,0.5,0.5
24469,591.0,33.70000076293945,26.200000762939453,56,0.0,0.0
24470,830.0,31.799999237060547,24.5,56,0.0,0.0
24471,537.0,38.0,27.600000381469727,80,0.0,0.0
24472,1038.0,29.0,27.299999237060547,183,0.0,0.0
24473,731.0,30.200000762939453,23.899999618530273,56,0.0,0.0
24474,519.0,21.899999618530273,25.799999237060547,56,0.5,0.5286666649580002
24475,1051.0,26.299999237060547,27.700000762939453,80,0.0,0.0
24476,937.0,34.70000076293945,27.100000381469727,183,0.0,0.0
24477,627.0,24.799999237060547,26.799999237060547,183,0.0,0.0
24478,937.0,27.399999618530273,27.299999237060547,183,1.0,1.0
24479,831.0,29.200000762939453,26.799999237060547,80,0.0,0.0
24480,837.0,24.200000762939453,27.700000762939453,183,0.5,0.5
24481,710.0,20.200000762939453,26.600000381469727,80,0.0,0.0
24482,576.0,35.0,26.100000381469727,56,0.699999988079071,0.699999988079071
24483,938.0,28.299999237060547,27.299999237060547,183,0.0,0.89
24484,518.0,38.599998474121094,25.600000381469727,56,0.0,0.0
24485,546.0,36.79999923706055,28.200000762939453,80,0.0,0.0
24486,935.0,26.700000762939453,27.399999618530273,80,0.0,0.0
24487,595.0,35.70000076293945,27.700000762939453,80,0.0,0.0
24488,632.0,38.599998474121094,25.899999618530273,183,1.0,0.99
24489,730.0,26.799999237060547,27.399999618530273,80,0.0,0.0
24490,664.0,36.79999923706055,25.899999618530273,56,0.0,0.0
24491,630.0,28.399999618530273,27.5,80,0.0,0.0
24492,920.0,26.100000381469727,27.700000762939453,80,0.0,0.0
24493,728.0,30.100000381469727,24.100000381469727,56,0.0,0.0
24494,604.0,28.399999618530273,27.200000762939453,183,0.0,0.0
24495,859.0,25.299999237060547,26.600000381469727,56,0.5,0.5
24496,938.0,34.599998474121094,26.899999618530273,80,0.0,0.0
24497,547.0,36.79999923706055,28.200000762939453,80,0.0,0.0
24498,648.0,43.400001525878906,26.0,56,0.0,0.0
24499,776.0,30.299999237060547,27.299999237060547,183,0.699999988079071,0.699999988079071
24500,636.0,28.700000762939453,26.5,80,0.0,0.0
24501,696.0,33.599998474121094,27.100000381469727,183,0.0,0.0
24502,567.0,21.899999618530273,26.5,56,0.0,0.0
24503,584.0,44.29999923706055,25.600000381469727,56,0.0,0.0
24504,674.0,26.600000381469727,27.700000762939453,183,0.0,0.0
24505,575.0,30.299999237060547,25.299999237060547,56,0.0,0.0
24506,664.0,39.20000076293945,27.100000381469727,183,1.0,1.0
24507,673.0,38.5,24.899999618530273,183,1.0,1.0
24508,937.0,26.700000762939453,27.299999237060547,80,0.0,0.0
24509,517.0,21.600000381469727,26.299999237060547,56,0.5,0.5
24510,578.0,33.400001525878906,27.799999237060547,80,0.0,0.0
24511,672.0,37.099998474121094,25.799999237060547,56,0.0,0.0
24512,588.0,36.400001525878906,26.100000381469727,56,1.0,1.0
24513,697.0,37.29999923706055,26.0,56,1.0,1.0
